id|City/municipality|Name of cohouse|Address|started living|Tenure originally|Tenure today|type|Owner originally|Owner today|Type of house owner|Number of flats
1|Borås|Tunnan|Tunnlandsgatan 9|1987|tenancy|tenancy|multi|AB Bostäder i Borås|AB Bostäder i Borås|municipality owned public housing company|27
2|Falun|Tersen|Tegelvägen 18|2005|cooperative tenancy|cooperative tenancy|over 40|KHR Tersen|KHR Tersen|cooperative|50
3|Gävle|Blomstret|Batterigatan 14-18||condominium|condominium|multi|HSB/Brf Blomstret|HSB/Brf Blomstret|condominium|39
4|Göteborg|Majbacken Bogemenskap|Hellstedtsgatan 7|2004|cooperative tenancy|cooperative tenancy|over 40|Familjebostäder i Göteborg AB|Familjebostäder i Göteborg AB|municipality owned public housing company|31
5|Göteborg|Stacken|Teleskopgatan 2|1980|tenancy|cooperative tenancy|multi|Bostads AB Poseidon|KHR Stacken|cooperative|35
6|Göteborg|Undersammatak|Riksdalersgatan 8A/B|2020|tenancy|tenancy|multi|Trollängen|Trollängen|private housing company|59
7|Göteborg|Trädet|Allhelgonagatan 12|1985|tenancy|tenancy|multi|Bostads AB Poseidon|Bostads AB Poseidon|municipality owned public housing company|39
8|Hamburgssund|Hogslätts vänboende|Övre Hogslättsvägen 14 I|2018|cooperative tenancy|cooperative tenancy|over 40|KHR Hogslätts vänboende|KHR Hogslätts vänboende|cooperative|12
9|Helsingborg|Bostadskooperativet Fortuna|Tågagatan 35-37|1989|cooperative tenancy|cooperative tenancy|multi|AB Helsingborgshem|AB Helsingborgshem|municipality owned public housing company|20
10|Huddinge|Fullersta Backe|Kyrkängsbacken 8|1986|tenancy|tenancy|multi|Huge FastigheterAB|Huge FastigheterAB|municipality owned public housing company|26
11|Hudiksvall|Kopparslagaren||2016|condominium|condominium|multi|brf Kopparslagaren|brf Kopparslagaren|condominium|5
12|Linköping|Stolplyckan|Föreningsgatan 35-39|1979|tenancy|tenancy|multi|Stångåstaden|Stångåstaden|municipality owned public housing company|135
13|Lund|Fiolen|Flygelvägen 6|1992|tenancy|tenancy|multi|Lunds Kommuns Fastighets AB|Lunds Kommuns Fastighets AB|municipality owned public housing company|24
