id|City|Name of starter group|Tenure|type|Planned owner|Notes
1|Borgholm|BoSams|cooperative tenancy|over 40|BTE Bygg-Teknik Entreprenad AB|
2|Färjestaden|Färjestadens seniorboende|cooperative tenancy|over 65|Wasa Seaside KHR|
3|Göteborg|Boihop Östra Kålltorp|cooperative tenancy|over 40|Bostadsbolaget|
4|Göteborg|Boihop Högsbo|cooperative tenancy|over 40|Familjebostäder i Göteborg|
5|Göteborg|Boihop|tenancy or cooperative tenancy|multi and over 40||Association continous working for new cohouses in the Gothenburg region
6|Göteborg|Högsbo Byggemenskap|Cooperative tenancy|multi|Familjebostäder i Göteborg|
7|Hölö, Järna|Nackunga Community||||
8|Malmö|Kollektivhus i Malmö|tenancy or cooperative tenancy|multi and over 40||"Association continous working for new cohouses in  Malmö "
9|Malmö|KiM/Rosengårdsfastigheter|tenancy or cooperative tenancy||Rosengård Fastigheter AB|
10|Malmö|Röda Oasen|cooperative tenancy|multi||
11|Malmö|ETC bygg i Malmö/Hyllie||multi|ETC bygg i Malmö|
12|Stockholm|Kombo|"tenancy "|multi|Familjebostäder|
13|Stockholm|Hägersten|tenancy or cooperative tenancy||Sveafastigheter Bostad|
14|Stockholm|Hållkollbo|cooperative tenancy|multi||
15|Stockholm|Bo Framtiden|tenancy or cooperative tenancy|multi and over 40||Association continous working for new cohouses in the Stockholm region
16|Umeå|Kollektivhus i Umeå||||
17|Uppsala|Rudbeckia|cooperative tenancy|muli|Sveafastigheter Bostad|
18|Vaxholm|Bo i Gemenskap Vaxholm|tenancy or cooperative tenancy|over 40|Sveafastigheter Bostad|
19|Växjö|Växjö Bogemenskap|tenancy or cooperative tenancy|over 40||
20|Hammenhög|Hambo|cooperative tenancy|over 40|Hammenhögs bogemenskap KHR|
