Name,Established,Type of ownership,Number of housing units,Type,Adresse,Postal number
Æblehaven (1998),1998,Andelsboliger,30,Tæt-lav,"Æblehaven, 5700 Svendborg",5700
Fruens Vænge 1 (ca. 1995),1995,Andelsboliger,20,Tæt-lav,"Vænget 1-7, Meldahlsvej 4-10, Carl Reffsvej 90-92, 4300 Holbæk",4300
Højmarken (2003),2003,Almene boliger,12,Tæt-lav,"Morten Peders Vej 2-28, 5771 Stenstrup",5771
Strandgårdsparken,,Almene boliger,11,To plan,5600 Faaborg (Boligselskab Domea),5600
Terndrup (2000),2000,Almene boliger,12,Tæt-lav,"Østermarksvej 12-16 (m.fl.), 9575 Terndrup",9575
Høje Søborg Park (2008),2008,Almene boliger,24,Tæt-lav,"Marienborg Allé, 2860 Søborg",2860
"La Cabana, Afdeling 010, (2005)",2005,Almene boliger,22,Etagebyggeri,"Silkeborgvej 6, 7400 Herning",7400
Seniorbo Hørning (1998),1998,Andelsboliger,22,Tæt-lav,"Vester Allé 15-59, 8362 Hørning",8362
A/B Søvænget,,Andelsboliger,16,Tæt-lav,"Teglgårdsparken, 5500 Middelfart",5500
Afdeling 145 (ca. 2003),2003,Almene boliger,8,"Etagebyggeri, punkthuse","Fuglebakken, 8382 Hinnerup",8382
Afdeling 47 (1988),1988,Almene boliger,36,Tæt-lav,"Stålbjergvej og Wibyevænget, 5672 Broby",5672
Ammershøj (1997),1997,Almene boliger,16,Tæt-lav,"Kløvervej  3 (m.fl.), 4070 Kirke Hyllinge",4070
Ankerpladsen (2000),2000,Almene boliger,16,Tæt-lav,"Fabers Allé 11-41, 5300 Kerteminde",5300
Arresølund (2005),2005,Almene boliger,20,Tæt-lav,"Skorstensfejeren 15 (m.fl.), 3300 Frederiksværk",3300
Asbo (1998),1998,Almene boliger,17,Tæt-lav,"Engparken 18-42 m.fl., 4550 Asnæs",4550
Bag Bognæs/Vandværksvej (1998),1998,Almene boliger,12,Tæt-lav,"Vandværksvej 2-24, 5400 Bogense",5400
Bakkedraget (2003),2003,Almene boliger,28, Tæt-lav,"Bakkedraget 32-82, 4230 Skælskør",4230
Bakken (1998),1998,Almene boliger,12,Tæt-lav,"Bakkehøjen 1, 3600 Frederikssund",3600
Bakkevænget (ca. 2002),2002,Almene boliger,17, Tæt-lav,"Bakkevænget 1-18, 3660 Stenløse",3660
"Barken 1, (2003)",2003,Andelsboliger,12,Tæt-lav,"Barken, 6710 Esbjerg V (Hjerting)",6710
"Barken 2, (2003)",2003,Andelsboliger,10,Tæt-lav,"Barken, 6710 Esbjerg V (Hjerting)",6710
Blok 13 (2015),2015,Almene boliger,17, Etagebyggeri,"Paltholmterrasserne 47-49, 3520 Farum",3520
"Bofællesskabet Højen (tidl. Herfra til Evigheden), (2009)",2009,Ejerboliger,26,Tæt-lav,"Højen 1-30, Himmelev, 4000 Roskilde",4000
Bondesbakken (1994),1994,Andelsboliger,17,Tæt-lav,"Udsigten 11 m.fl., 4220 Korsør",4220
Borgmesterparken,,Andelsboliger,16,Tæt-lav,"Helmer Filtenborgs Plads, 3650 Ølstykke",3650
Buen (ca. 2003),2003,Andelsboliger,16,Tæt-lav,"Buen 1-16, 3400 Hillerød",3400
Bymølleparken (2003),2003,Almene boliger,20,Tæt-lav,"Bymøllevænget 2-42, 5610 Assens",5610
Byskoven (2006),2006,Andelsboliger,24,Etagebyggeri,"Byskoven 42 (m.fl.), 2600 Glostrup",2600
Bøgebo (???),,Almene boliger,14,Tæt-lav,"Vardevej 8, 6880 Tarm",6880
Bøgeparken (1997),1997,Almene boliger,36,Tæt-lav,"Bøgeparken 1-39 m.fl., 5792 Årslev",5792
Dalbo (1999),1999,Almene boliger,10,Tæt-lav,"Engparken 17-35, 4550 Asnæs",4550
Det gamle Rådhus (2004),2004,Almene boliger,27,Etagebyggeri,"Badstuestræde og Østergade, 5610 Assens",5610
Det Kreative Seniorbo (1992),1992,Almene boliger,12,Tæt-lav,"Rødegårdvej 177-179, 5000 Odense",5000
Druehaven (ca. 2002),2002,Almene boliger,14,Etagebyggeri,"Druehaven 39 (m.fl.), 2500 Valby",2500
Egebakken (2005),2005,Ejerboliger,29,Tæt-lav,"Egebakken 12 (m.fl.), 3480 Nødebo",3480
Egely ,,Almene boliger,15,"Gammelt plejehjem, flere plan","Skovvejen 46, 8850 Bjerringbro",8850
Ellehaven (2002),2002,Andelsboliger,33,Tæt-lav,"Ellevej 16 (m.fl.), 3450 Allerød",3450
Elleparken (2002),2002,Almene boliger,20,Tæt-lav,"Skovburren 111 m.fl., 4700 Næstved",4700
Elmehaven(2008),2008,Almene boliger,26,"Tæt-lav, rækkehuse","Elmevej 10A – 28 E, 5450 Otterup",5450
Elmehøj (2002),2002,Almene boliger,20, Tæt-lav,"Dyvelåsen 48-88, 2765 Smørum",2765
Enebærhaven (2001),2001, Ejerboliger,25,Tæt-lav,"Enebærhaven 8 (m.fl.), 4330 Hvalsø",4330
Engholm (2001),2001,Almene boliger,15,Tæt-lav,"Engholm, 7470 Karup",7470
