Group Id,Legally incorporated,Legal form,Date of incorporation,Group Formation Date,Are they working with the Hub?,Registered Provider,Charitable Status,Project ID,Project Postcode Area,Current Stage,Approach/Model,Total number of homes,Target overall year for completion,Affordable Rent Homes,Discounted Market Sale Homes (% income),Discounted Market Sale Homes (% market),Intermediate Rent Homes,Market Sale Homes,Mutual Home Ownership Homes,Social Rent Homes,Living Rent Homes,Market Rent Homes,Shared Equity Homes,Shared Ownership Homes,Rent to Buy Homes,Undetermined Tenure Homes,Refurbished Homes,New Build Homes,Not Known Age Homes,Homes bought from developer,Custom-build homes,Self-finish homes,Conventional build method homes,Self-build homes,Not known build method homes,
172,TRUE,Registered Society (formerly known as Industrial and Provident Society),28/01/2014,,No,FALSE,FALSE,178,TQ13,Build,Community Land Trust,28,2020,20,0,0,0,0,0,0,0,0,0,8,0,0,0,28,0,0,0,0,0,0,28,
173,FALSE,Not yet incorporated,,,No,FALSE,FALSE,179,SE5,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
175,TRUE,Company Limited by Guarantee,03/12/2015,,,FALSE,FALSE,181,TQ6,Group,Community Land Trust,150,2022,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,150,
224,FALSE,,,,,FALSE,FALSE,232,,Group,Community Land Trust,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,
226,TRUE,Community Benefit Society (non-charitable),22/06/2018,,No,FALSE,FALSE,233,EX24,Plan,Community Land Trust,20,2022,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,
227,TRUE,Community Benefit Society (non-charitable),11/01/2019,,No,FALSE,FALSE,234,EX34,Plan,Community Land Trust,10,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,
230,TRUE,Community Benefit Society (non-charitable),24/04/2019,,Yes,FALSE,FALSE,237,SE14,Concept,Community Land Trust,32,2026,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,32,
100,TRUE,Community Benefit Society (non-charitable),10/04/2019,,Yes,FALSE,FALSE,104,YO61,Group,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
106,TRUE,Registered Society (formerly known as Industrial and Provident Society),23/03/2012,,,FALSE,FALSE,113,DT6,Build,Cohousing; Community Land Trust,34,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,
586,FALSE,Not yet incorporated,01/01/2020,,Yes,FALSE,FALSE,608,BH24,Concept,Community Land Trust,6,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,
589,FALSE,Not yet incorporated,,,No,FALSE,FALSE,611,KT9,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
641,TRUE,Community Benefit Society (charitable),04/01/2019,01/09/2018,Yes,FALSE,TRUE,668,SP3,Concept,Community Land Trust,35,2024,20,0,0,0,0,0,0,0,0,0,15,0,0,0,0,35,0,0,0,0,0,35,
642,TRUE,Community Benefit Society (non-charitable),18/08/2015,,,FALSE,FALSE,669,GL6,Live,Community Land Trust,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,
590,TRUE,Community Benefit Society (non-charitable),19/10/2016,01/09/2013,Yes,FALSE,FALSE,612,SY14,Group,Community Land Trust,10,2024,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,10,0,0,
596,FALSE,Not yet incorporated,,,,FALSE,FALSE,619,TA9,Build,Community Land Trust,12,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,
597,FALSE,Not yet incorporated,,,,FALSE,FALSE,620,NR18,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
599,TRUE,Community Benefit Society (non-charitable),29/06/2016,,,FALSE,FALSE,622,SN14,Site,Community Land Trust,27,2021,0,0,0,0,9,0,9,0,0,0,9,0,0,0,0,27,0,0,0,0,0,27,
180,TRUE,Community Benefit Society (non-charitable),02/07/2017,,No,FALSE,FALSE,186,DT9,Plan,Community Land Trust,10,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,
186,TRUE,Community Benefit Society (non-charitable),02/07/2012,,,FALSE,FALSE,192,OX15,No Stage Selected,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
187,TRUE,Company Limited by Guarantee,30/12/2009,,,FALSE,FALSE,193,PO19,Concept,Community Land Trust,2,2021,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,
189,TRUE,Community Benefit Society (non-charitable),17/08/2018,,Yes,FALSE,FALSE,195,BN8,Site,Community Land Trust,6,2021,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,
1358,FALSE,,,01/01/2020,Yes,FALSE,FALSE,1437,,Group,Community Land Trust,,,,,,,,,,,,,,,,,,,,,,,,,
762,TRUE,Community Interest Company,15/12/2011,,,FALSE,FALSE,793,TR17,Concept,Community Land Trust,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,
1105,TRUE,Registered Society (formerly known as Industrial and Provident Society),24/10/2006,,,FALSE,FALSE,1138,BH19,Live,Community Land Trust,5,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,
