name,development_stage,completion_year,dwellings_number,address_line1,address_region,address_code,housing_tenure,legal_form
Spoorbaan,active,1984,45,,Eindhoven,,['ownership_full'],['association']
Het Spijkert,active,1987,65,,Eindhoven,,['ownership_full'],['association']
Jericho,active,1992,54,,Rotterdam,,['ownership_full'],['association']
Clemensstraat,active,1994,13,,Rotterdam,,['ownership_full'],['association']
Bennekelbosch,active,1995,71,,Eindhoven,,['rental_social'],['association']
Het Paleis,active,1999,15,,Rotterdam,,['ownership_full'],['association']
Terbregse.nl,active,2002,41,,Rotterdam,,['ownership_full'],['association']
Kersentuin,active,2003,94,,Utrecht,,['ownership_full'],['association']
Bieshof,active,2005,9,,Bladel,,['ownership_full'],['association']
Zandstraat,active,2005,34,,Bladel,,['ownership_full'],['association']
Coppens,active,2006,25,,Bladel,,['ownership_full'],['association']
Folkert Elsingastraat,active,2007,9,,Rotterdam,,['ownership_full'],['association']
Lage Schoense,active,2007,17,,Boekel,,['ownership_full'],['association']
Bouwen in Netersel,active,2006,25,,Netersel,,['ownership_full'],['association']
Bouwen in Netersel,active,2006,10,,Netersel,,['rental_social'],['association']
Leeuwerik 2,active,2009,24,,Hilvarenbeek,,['ownership_full'],['association']
Hemelberg,active,2008,25,,Asten,,['ownership_full'],['association']
Jong Gebouwd Oisterwijk,active,2011,19,,Oisterwijk,,['ownership_full'],['association']
Gils Bouwt Collectief,active,2009,17,,Gilze en Rijen,,['ownership_full'],['association']
Weebosch,active,2008,7,,Bergeijk,,['ownership_full'],['association']
Hooge Berkt,active,2010,39,,Bergeijk,,['ownership_full'],['association']
Steenbergen Dinteloord,active,2009,22,,Steenbergen,,['ownership_full'],['association']
Passiebloem,active,2011,34,,Eindhoven,,['rental_social'],['association']
Madelief,active,2010,25,,Eindhoven,,['ownership_full'],['association']
De Lieven,active,2009,14,,Eindhoven,,['ownership_full'],['association']
Buren Lienden Beusichem,active,2009,27,,Buren,,['ownership_full'],['association']
Duizendschoon,active,2011,51,,Eindhoven,,['ownership_full'],['association']
Duizendschoon,active,2011,21,,Eindhoven,,['rental_social'],['association']
Starters Waalre,active,2011,27,,Waalre,,['ownership_full'],['association']
Esrand,active,2010,53,,Nuenen,,['ownership_full'],['association']
Steensel Noord,active,2010,18,,Eersel,,['ownership_full'],['association']
Heideweg,active,2010,26,,Liempde,,['ownership_full'],['association']
Gemeentewerf Riel,active,2011,17,,Riel,,['ownership_full'],['association']
BIZON Holthuizen,active,2010,32,,Holthuizen,,['ownership_full'],['association']
Lottum,active,2009,11,,Horst aan de Maas,,['ownership_full'],['association']
Braamt-West,active,2009,11,,Montferland,,['ownership_full'],['association']
Ormeling,active,2011,19,,Nederhemert,,['ownership_full'],['association']
Oerle Zuid,active,2015,28,,Veldhoven,,['ownership_full'],['association']
Made Drimmelen,active,2011,20,,Drimmelen,,['ownership_full'],['association']
BOOG Babberich,active,2010,19,,Zevenaar,,['ownership_full'],['association']
Eeneind,active,2010,39,,Nuenen,,['ownership_full'],['association']
BEM Holthuizen,active,2010,10,,Zevenaar,,['ownership_full'],['association']
Lith Oijen,active,2012,25,,Lith Oijen,,['ownership_full'],['association']
Toekomstig Wonen Diessen,active,2011,26,,Hilvarenbeek,,['ownership_full'],['association']
Kersenmolen,active,2010,14,,Mierlo,,['ownership_full'],['association']
Landhof Zuid,active,2012,44,,Eindhoven,,['ownership_full'],['association']
Colijnstraat,active,2010,6,,Sint Oedenrode,,['ownership_full'],['association']
Jonge Bouwmortels Udenhout,active,2016,22,,Tilburg,,['ownership_full'],['association']
CPO Chaam,active,2011,16,,Alphen-Chaam,,['ownership_full'],['association']
Laarbeek,active,2011,10,,Laarbeek,,['ownership_full'],['association']
Terlo,active,2012,10,,Bergeijk,,['ownership_full'],['association']
Tiliaans,active,2012,12,,Bergeijk,,['ownership_full'],['association']
Paardenmarkt Soersel,active,2011,15,,Gemert Bakel,,['ownership_full'],['association']
Gezin in Ontwikkeling,active,2013,7,,Breda,,['ownership_full'],['association']
Bouwen Voor De Toekomst Prinsenbeek,active,2011,32,,Breda,,['ownership_full'],['association']
Loverbosch,active,2012,12,,Asten,,['ownership_full'],['association']
Liesveld,active,2011,15,,Liesveld,,['ownership_full'],['association']
Overasselt,active,2012,15,,Heumen,,['ownership_full'],['association']
SamSam,active,2012,13,,Loon op Zand,,['ownership_full'],['association']
Exterbroek,active,2012,19,,Dongen,,['ownership_full'],['association']
de Moer,active,2014,18,,Tilburg,,['ownership_full'],['association']
CPO Hoge Hoek,active,2014,17,,Tilburg,,['ownership_full'],['association']
Kroon,active,2012,16,,Uden,,['ownership_full'],['association']
Zomervlinder,active,2012,10,,Moerdijk,,['ownership_full'],['association']
Samen Bouwen in Reusel,active,2013,17,,Reusel,,['ownership_full'],['association']
Jasmijn,active,2013,11,,Eindhoven,,['ownership_full'],['association']
Malborg,active,2012,10,,Laarbeek,,['ownership_full'],['association']
Wijngaarden,active,2012,7,,Wijngaarden,,['ownership_full'],['association']
De Vlas,active,2013,19,,Asten,,['ownership_full'],['association']
Veld Zeven Babberich,active,2012,7,,Zevenaar,,['ownership_full'],['association']
Alphen,active,2013,28,,Alphen,,['ownership_full'],['association']
BONapart,active,2013,9,,Nijmegen,,['ownership_full'],['association']
Esbeek 2,active,2015,13,,Hilvarenbeek,,['ownership_full'],['association']
De Helling,active,2013,15,,Vorstenbosch,,['ownership_full'],['association']
Neerkant,active,2014,13,,Neerkant,,['ownership_full'],['association']
CPO Wielwijk,active,2015,6,,Dordrecht,,['ownership_full'],['association']
CPO Galder,active,2015,16,,Alphen-Chaam,,['ownership_full'],['association']
CPO Spoordonk,active,2014,22,,Oirschot,,['ownership_full'],['association']
Kulert,active,2015,8,,Deurne,,['ownership_full'],['association']
Kersenbouwers,active,2015,12,,Mierlo,,['ownership_full'],['association']
CPO Riethoven ,active,2015,10,,Bergeijk,,['ownership_full'],['association']
CPO Westerhoven,active,2014,5,,Bergeijk,,['ownership_full'],['association']
CPO Flinkert,active,2015,9,,Eersel,,['ownership_full'],['association']
BBZ Lelie,active,2015,14,,Eindhoven,,['ownership_full'],['association']
De Rijt,active,2015,11,,Deursen,,['ownership_full'],['association']
Meegroeiwoning,active,2014,10,,Gilze/Rijen,,['ownership_full'],['association']
VvTH Houbenstaete ,active,2014,54,,Tilburg,,['rental_social'],['association']
De Schrijver Akkerstraat,active,2016,22,,Eindhoven,,['ownership_full'],['association']
CPO dn Hof,active,2015,20,,Overloon,,['ownership_full'],['association']
Fonkelsteen,active,2015,24,,Goirle,,['ownership_full'],['association']
HBB 2.0,active,2016,31,,Breda,,['ownership_full'],['association']
CohousingStrijpR,active,2017,14,,Eindhoven,,['ownership_full'],['association']
Mozaik,active,2018,15,,Oisterwijk,,['ownership_full'],['association']
Zuiderpark,active,2016,22,,Uden,,['ownership_full'],['association']
Diessen II,active,2016,19,,Hilvarenbeek,,['ownership_full'],['association']
Nieuw Brabantia,active,2017,13,,Waalre,,['ownership_full'],['association']
NRE Twee,active,2018,12,,Eindhoven,,['ownership_full'],['association']
Vlaardingen West,active,2016,19,,Vlaardingen,,['ownership_full'],['association']
Appelhoek,active,2017,6,,West Maas en Waal,,['ownership_full'],['association']
Klaproos,active,2016,61,,Eindhoven,,['ownership_full'],['association']
Klaproos,active,2016,4,,Eindhoven,,['rental_social'],['association']
Geldersedam,active,2016,10,,Den Bosch,,['ownership_full'],['association']
Kaskoop NRE,active,2019,9,,Eindhoven,,['ownership_full'],['association']
Getijden Nijmegen,active,2018,16,,Nijmegen,,['ownership_full'],['foundation']
HBB 3.0,active,2016,7,,Breda,,['ownership_full'],['association']
Wonen in Landhof,active,2017,13,,Eindhoven,,['ownership_full'],['association']
CPO Zundert,active,2017,15,,Zundert,,['ownership_full'],['association']
Bouverijen,active,2017,9,,Breda,,['ownership_full'],['association']
CPO Spoordonk 2.0,active,2018,20,,Oirschot,,['ownership_full'],['association']
Peelven,active,2017,12,,Deurne,,['ownership_full'],['association']
CPO Ons Doel,active,2018,17,,Gilze,,['ownership_full'],['association']
CPO Vinkel,active,2018,12,,'s Hertogenbosch,,['ownership_full'],['association']
TBV Wonen Tobias,active,2017,28,,Tilburg,,['rental_social'],['association']
Mansus Amfora,active,2018,10,,Veldhoven,,['ownership_full'],['association']
tStijn,active,2019,15,,Deurne,,['ownership_full'],['association']
Lindehoeve,active,2019,10,,Tilburg,,['ownership_full'],['association']
CPO Westwaarts,active,2020,22,,Loon op Zand,,['ownership_full'],['association']
CPO Haagakkers,active,2019,9,,Oirschot,,['ownership_full'],['association']
De Omscholing,active,2020,12,,Eersel,,['ownership_full'],['association']
CPO Parelmoer,active,2020,7,,Loon op Zand,,['ownership_full'],['association']
CPO Beljaart,active,2020,8,,Dongen,,['ownership_full'],['association']
CPO Reuzelaar,active,2020,26,,Halderberge,,['ownership_full'],['association']
De Gaas,active,2021,10,,Tilburg,,['ownership_full'],['association']
St. Servatius,active,2021,9,,Bergeijk,,['ownership_full'],['association']
Tiny Houses Twijgenhof,active,2021,8,,Culemborg,,['ownership_full'],['association']
CPO Knotwilghof,active,2021,4,,Eindhoven,,['ownership_full'],['association']
Made by NRE - Parkeergebouw,active,2021,-,,Eindhoven,,['ownership_full'],['association']
Tiny Houses Kwintet,active,2021,5,,Culemborg,,['ownership_full'],['association']
Bernard en Vincent,active,2021,62,,Tilburg,,['rental_social'],['association']
CPO Driesche Weide,active,2021,11,,Breda,,['ownership_full'],['association']
Ambachtsdorp NRE,active,2021,9,,Eindhoven,,['ownership_full'],['association']
Ja Natuurlijk Vredeoord,active,2021,5,,Eindhoven,,['ownership_full'],['association']
De Rivierduin ,active,2021,10,,Wychen,,['ownership_full'],['association']
Bosrijk O2,active,2022,4,,Eindhoven,,['ownership_full'],['association']
Case Study House (040),developing,2021,4,,Eindhoven,,['ownership_full'],['association']
Compagnie Bergen op Zoom,developing,2022,12,,Bergen op Zoom,,['ownership_full'],['foundation']
CPO Philipsdorp,developing,2022,13,,Eindhoven,,['ownership_full'],['association']
Noorderstreek,developing,2021,11,,Tilburg,,['ownership_full'],['association']
Duurzaam Wonsick,developing,2021,10,,Wychen,,['ownership_full'],['association']
Den Tip Casteren,developing,2021,10,,Bladel,,['ownership_full'],['association']
Toekomstmuziek Nijmegen,developing,2022,10,,Nijmegen,,['ownership_full'],['association']
CPO Mechelen,developing,2022,15,,Mechelen,,['ownership_full'],['association']
CPO De Nieuwe Belg Schuttersbosch,developing,2022,9,,Eindhoven,,['ownership_full'],['association']
CPO Hilvarenbeek,developing,2022,25,,Hilvarenbeek,,['ownership_full'],['association']
CPO Alphen,developing,2023,33,,Alphen,,['ownership_full'],['association']
De Bleeck,developing,2023,7,,Waalre,,['ownership_full'],['association']
CPO Nimma,developing,2023,8,,Nijmegen,,['ownership_full'],['association']
