name|development_stage|completion_year|dwellings_number|address_line1|address_region|address_code|housing_tenure|legal_form
Wonen 2000 Plus [HK 31 2011]|active|2011|31||Alblasserdam||['rental_social','ownership_full']|[]
Bewonersvereniging De Egel|active||||Alkmaar||[]|[]
*C.W. Alkmaar (naam onbekend)|developing||||Alkmaar||[]|[]
C.W. De Regenboog [H 40 1986] [cw]|active|1985|40||Alkmaar||[]|[]
C.W. De Rups [H 9 1983] [cw]|active||9||Alkmaar||['rental_social']|[]
De Wonne Almelo [ 1995]|active|1995|||Almelo||[]|[]
*Hof van Heden Almelo [HK 15]|developing||15||Almelo||['rental_social','ownership_full']|[]
C.W. de Wierden [H 20 1984] [cw]|active|1984|20||Almere||['rental_social']|[]
C.W. Redemark [ 1978] [cw]|active|1978|||Almere||[]|[]
Woongroep Polter 50+ [H 31 2005] [50+]|active|2005|31||Almere||['rental_social']|[]
*De Zuivering|developing||||Alphen||[]|[]
C.W. Alphen aan den Rijn [H 29 1995] [cw]|active|1995|29||Alphen aan den Rijn||['rental_social']|[]
*woonproject in Twente|developing||||Ambt-Delden||[]|[]
C.W. Het Hallehuis [H 33 1984] [cw]|active|1984|33||Amersfoort||['rental_social']|[]
C.W. Woonvorm van de Toekomst [HK 61 1993] [cw]|active|1993|61||Amersfoort||['rental_social','ownership_full']|[]
*Polygame woongroep|developing||||Amersfoort||[]|[]
Woongroep Amersfortia [ 16]|active||16||Amersfoort||[]|[]
Woongroep Bloemendalse Buitenpoort [H 16] [50+]|active||16||Amersfoort||['rental_social']|[]
Woongroep Castellum [H 22] [50+]|active||22||Amersfoort||['rental_social']|[]
Woongroep Centro Vida [H 19 2005] [50+]|active|2005|19||Amersfoort||['rental_social']|[]
Woongroep De Berg [K 24 1998] [50+]|active|1998|24||Amersfoort||['ownership_full']|[]
Woongroep De Laak [ 27 2009] [50+]|active|2009|27||Amersfoort||[]|[]
Woongroep De Liaan [H]|active||||Amersfoort||['rental_social']|[]
Woongroep De Zwanebloem|active||||Amersfoort||[]|[]
Woongroep Grote Koppel|active||||Amersfoort||[]|[]
Woongroep Insulinde-Stadstuin [H 17 2002] [50+ multi]|active|2002|17||Amersfoort||['rental_social']|[]
Woongroep Malle Joseph|active||||Amersfoort||[]|[]
Woongroep Nieuw Amer [HK 27 1998] [50+]|active|1998|27||Amersfoort||['rental_social','ownership_full']|[]
